Timestamp,Tipo,Título,Autores,Fecha,¿Quién introduce la información?,Venue,Publisher,"Otros metadatos editoriales (e.j, volumen, páginas, etc.) ",Resumen (100-250 palabras),URL,Datos adicionales de interés,"Confirmo que la información aportada es correcta y lo más completa posible, y que estoy facultado para proveerla."
6/24/2022 14:28:24,Artículo publicado en proceeding de congreso,GeoBase: APLICACIÓN MÓVIL PARA EL LEVANTAMIENTO EN CAMPO,"MSc. Aracelys García Armenteros
MSc. Joanna Campbell Amos
Lic. Leonel García López",3/25/2022,Uno de los autores,Memorias de la Convención y Feria Informática 2022,,,"Un Sistema de Información Geográfico es un software que integra y relaciona diversos componentes que permiten la organización, almacenamiento, manipulación y análisis de grandes cantidades de datos que están vinculados a una referencia espacial. Una de las variantes de aplicaciones cartográficas es la destinada para la recolección de información de sitios de interés a partir de formularios. En el presente trabajo se exponen detalles del diseño y la implementación de GeoBase, una aplicación móvil cartográfica que permite añadir información asociada a una ubicación, mediante formularios dinámicos configurados por el usuario con anterioridad en forma de categorías. En la solución propuesta se usa Flutter como plataforma de desarrollo, con flutter_map como framework para la vi-sualización de mapas y una arquitectura de software multicapa derivada de Arquitectura Limpia, la cual favorece que la aplicación sea extensible para adicionar funcionalidades en el futuro. El resultado que se presenta es un software funcional y extensible que cumple con todos los requerimientos planteados.",,,Si
6/24/2022 14:33:36,Presentación en congreso (sin artículo),GeoBase: APLICACIÓN MÓVIL DE LEVANTAMIENTO EN CAMPO PARA LA TOMA DE DECISIONES,"MSc. Aracelys García Armenteros
MSc. Joanna Campbell Amos
Dra. Sira Allende Alonso
Lic. Leonel García López",6/2/2022,Uno de los autores,15th International Conference on Operational Resarch,,,"Un Sistema de Información Geográfico (SIG) es un software que integra y relaciona diversos componentes que permiten la organización, almacenamiento, manipulación y análisis de grandes cantidades de datos que están vinculados a una referencia espacial. Una de las variantes de aplicaciones cartográficas es la destinada para la recolección de información de sitios de interés a partir de formularios. Estas aplicaciones resultan de mucha utilidad para la realización de investigaciones científicas, el control de los recursos, arqueología y la resolución de problemas de optimización como puede ser VRP (Vehicle Routing Problems). GeoBase es una aplicación móvil cartográfica que permite añadir información asociada a una ubicación, mediante formularios dinámicos configurados por el usuario con anterioridad en forma de categorías, desarrollada por la Casa del Software de la Facultad de Matemática y Computación de la Universidad de La Habana. En esta solución se usó Flutter como plataforma de desarrollo, y una arquitectura de software multicapa derivada de Arquitectura Limpia, la cual favorece que la aplicación sea extensible para adicionar funcionalidades. En el presente trabajo se ilustra mediante dos casos de estudio cómo puede ser utilizada GeoBase para la obtención de datos de entrada a los algoritmos de optimización. Uno de los casos de estudio consiste en la definición de geositios o sitios de interés geológicos del Ministerio de Energía y Minas con el fin de confeccionar inventarios, el otro caso de estudio es el diseño de un recorrido del programa Rutas y Andares perteneciente a la Oficina del Historiador de la Ciudad.  ",,,Si
6/24/2022 16:39:01,Artículo publicado en journal,Un acercamiento a los modelos epidemiológicos poblacionales.,"Elyanis García-Pola
Aymée Marrero Severo",5/7/2021,Uno de los autores," INFODIR,  ISSN 1996-3521 RNPS 2097 ",Ciencias Médicas,"No. 37, enero-abril 2022","Considerando la importancia que tiene para la Biomatemática, la formulación de modelos matemáticos que describan la dinámica de procesos asociados a fenómenos biológicos y médicos y muy especialmente para la Epidemiología en su propósito de caracterizar en el contexto clínico y social la dinámica de enfermedades contagiosas; este trabajo tiene como objetivo acercarse a diferentes formas de modelos epidemiológicos poblacionales esenciales en el tratamiento y manejo de enfermedades transmisibles y epidemias, en momentos en que la pandemia de la CoVid19 azota a la humanidad, a través de una búsqueda bibliográfica relativamente diversa.
Partiendo de la formulación clásica de Kermack-McKendrick  presentamos un panorama de los modelos definidos por ecuaciones diferenciales ordinarias por el desempeño probado de los mismos en la descripción matemática de la propagación de enfermedades. En un segundo momento, se presentan dentro de los modelos probabilísticos, los llamados modelos de urnas, que permiten otro enfoque, igualmente válido pero de más reciente utilización.
",,"Indexada en DOAJ, Latindex, Medigraphic, SeCiMed, SciELO",Si
6/24/2022 16:46:10,Capítulo de libro,Management of CoVid19 in Cuba with risk perception: a SAIR-type model considering the asymptomatic population,"Daniel Menció Padrón
Gabriela Bayolo Soler
Aymée Marrero Severo",2/3/2022,Uno de los autores,Modeling experiences on COVID-19 Pandemic in Ibero-america,Cambridge Scholars Publishing,,"A partir de modelos epidemiológicos poblacionales definidos por ecuaciones diferenciales ordinarias tipo SAIR, en este trabajo se plantea una variante que distingue entre las poblaciones de contagiado sintomáticos y asintomáticos, lo que se corresponde con la dinámica de la transmisión de CoVid19.
La formulación de la percepción del riesgo usa funciones que simulan las acciones del gobierno y las actitudes individuales, con tasas de infección variables en el tiempo, permitió simular usando datos de Cuba, diferentes escenarios de olas epidémicas y contribuyendo a los pronósticos útiles para las acciones eficientes del sistema de la salud y otras autoridades en su intención de controlar la pandemia
",,,Si
9/21/2022 16:26:29,Artículo publicado en proceeding de congreso,MODELO PARA EL COVID19 CONSIDERANDO VACUNACIÓN,"Daniel Menció Padrón
Aymée Marrero Severo
Gabriela Bayolo Soler",11/11/2021,Uno de los autores,IWOR 2021,,,"En este trabajo se propone una variante de los modelos epidemiológicos poblacionales tipo SIS, definidos por ecuaciones diferenciales ordinarias, distinguiendo entre las poblaciones vacunadas y las poblaciones no vacunadas, en correspondencia a la dinámica de la transmisión de CoVid19 en nuestro país y a la estrategia de inmunización.
En este modelo se supone que sufrir la enfermedad no genera inmunidad, la cual se adquiere sólo por la vacuna, considerando cierta tasa de eficacia de la misma. También se considera la interacción entre ambas subpoblaciones como factor de transmisibilidad.
En esta investigación, se consideró la tasa de la infección como una función variable en el tiempo, obteniendo la expresión para el número básico reproductivo, también variable en el tiempo.
Para calcular los valores de los parámetros esenciales de la transmisión, fue formulado y se resolvió un problema de estimación de parámetros usando units de MatLab para presentar  pronósticos que deben ayudar al control de esta pandemia, de acuerdo con los datos en Cuba.
",,,Si
6/24/2022 17:12:25,Capítulo de libro,"Modelos epidemiológicos para la COVID-19 con percepción de riesgo, considerando subpoblaciones de asintomáticos","DANIEL MENCIÓ PADRÓN
GABRIELA BAYOLO SOLER
AYMÉE MARRERO SEVERO",3/29/2021,Uno de los autores,Ciencia e innovación: desafíos a la multidisciplinariedad ante la COVID-19. Gestión del conocimiento y alianzas estratégicas en la Universidad de La Habana ,"Editorial UH, 2020",,"A partir de un modelo SEIR publicado por Gutiérrez y Varona (2020), y teniendo en cuenta algunas de las características y complejidades de la transmisión de la COVID-19, proponemos un modelo que separa la subpoblación de individuos en período de incubación o latencia, distingue entre infectados sintomáticos y asintomáticos, considerando estos últimos como una nueva subpoblación.
Otra novedad de nuestra propuesta, teniendo presente la estrategia cubana para el enfrentamiento a esta pandemia, es incluir los individuos testados positivos con el objetivo de simular la proporción de individuos asintomáticos que pueden estar en la población, a partir de los datos de que se dispone. Se ha agregado la clase epidemiológica, que agrupa a los infectados activos a partir de los testados positivos, tanto sintomáticos como asintomáticos. Adicionalmente, esta propuesta tiene en cuenta las acciones de control gubernamental y la percepción de riesgo individual
",,,Si
6/24/2022 17:21:05,Artículo publicado en journal,Modelo SEAIR con percepción de riesgo para laCoVid19. Caso Cuba,"Aymée Marrero Severo
Daniel Menció Padrón
Gabriela Bayolo Soler",7/6/2020,Uno de los autores,Revista Ciencias Matemáticas,,"Vol.34, No.1, pp. 13-18, 2020. ISSN: 0256-5374","En este trabajo se propone una variante de modelo poblacional SEIR aplicado a la epidemiología, distinguiendo entre las poblaciones de infectados sintomáticos y asintomáticos, para representar la dinámica de transmisión de la CoVid19, con funciones que simulan las acciones gubernamentales e individuales ante la percepción de riesgo.
Se obtuvieron expresiones para el número reproductivo básico y la tasa de contagio, variables en el tiempo, lo que permitió simular diferentes escenarios y presentar predicciones, que deben ayudar a la acción de control de dicha pandemia, según datos en Cuba.
",,"Indexada en Academic Search Premier, Fuente Academica Plus, zbMATH, LATINDEX. ",Si
6/24/2022 17:24:08,Artículo publicado en journal,Revista Ciencias Matemáticas,"Daniel Menció Padrón
Gabriela Bayolo Soler
Aymée Marrero Severo",7/15/2022,Uno de los autores,"Evolución de la CoVid19 a partir de un Modelo SAIRV con tasa de transmisión variable ante precepción de riesgo, cuarentena y hospitalización. Caso Cuba",," Vol.34, No.1, pp. 67-72, 2020. ISSN: 0256-5374","A partir de la propuesta y estudio de una variante SEIR de modelo epidemiológico poblacional para representar la dinámica de transmisión de la CoVid19, con funciones que simulan acciones ante la percepción de riesgo y que distingue entre las poblaciones de infectados sintomáticos y asintomáticos, se presenta una nueva variante que considera exposición al virus y la diferenciación de personas en cuarentena y hospitalizados, además de infectados y asintomáticos libres en la población.
Se realizó el ajuste de los parámetros, utilizando diferentes estrategias con vistas a simular el comportamiento de las variables esenciales para los objetivos de este estudio, según datos en Cuba.
A partir de los resultados obtenidos en el trabajo anterior publicado en esta propia revista y del estudio de artículos internacionales, proponemos en este trabajo un nuevo modelo que considera una variante con exposición al virus y la diferenciación de personas asintomáticos e infectados libremente en la sociedad y en cuarentena y hospitalizados, conservando las principales definiciones de parámetros del modelo anterior
",,"Indexada en Academic Search Premier, Fuente Academica Plus, zbMATH, LATINDEX.",Si
6/24/2022 17:33:18,Artículo publicado en journal,Análisis de Modelo Matemático con percepción de riesgo para la CoVid19. Resultados para Cuba. ,"Daniel Menció Padrón
Gabriela Bayolo Soler
Aymée Marrero Severo.  ",12/15/2020,Uno de los autores,Revista Informática Médica. ,Ciencias Médicas,No.2/2020,"En este trabajo se explica cómo se representa la transmisión de enfermedades a través de modelos matemáticos definidos por ecuaciones diferenciales. En Epidemiología, han jugado un importante papel los Modelos Poblacionales que dividen a la población de estudio en subpoblaciones según los atributos que las distinguen, lo que permite representar la dinámica de contagio social de una determinada enfermedad, especialmente en momentos de brote epidémico.
En esta propuesta se formula un modelo matemático definido por ecuaciones diferenciales para representar la transmisión del SarsCov2 distinguiendo entre las poblaciones de infectados sintomáticos y asintomáticos de la CoVid19, con funciones que simulan las acciones gubernamentales e individuales ante la percepción de riesgo. También se presenta un análisis de los resultados obtenidos en Cuba.
",http://www.revinformatica.sld.cu/index.php/rcim,,Si
6/25/2022 11:26:16,Libro,Análisis Matemático Real. Ejercicios y Problemas,"Sofía Behar Jequín
Rita Roldán Inguanzo
Armando Arredondo Soto",12/12/2021,Uno de los autores,Libro de texto,Editorial universitaria,266 páginas,,HTTP://www.eduniv.cu,ISBN 978-959-1694705-4,Si
